"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2005&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:19:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Bellingham Cogeneration Facility","MA",258606,0,223
"Bellmeade Power Station","VA",202279,36,79
"Beloit","KS",2487,0,5
"Beluga","AK",1222611,6,3425
"Ben French","SD",213970,731,505
"Benedum Plant","TX",2736,0,60
"Benkelman","NE",56,0,1
"Benndale","MS",789,"--","--"
"Bennett Mountain","ID",31537,"--","--"
"Benning","DC",156315,757,250
"Benson City of","MN",318,0,3
"Beowawe Power","NV",2236,"--","--"
"Bergen Generating Station","NJ",1450933,17,248
"Berkshire Power","MA",460926,2,50
"Berlin","MD",2952,3,41
"Berlin 5","VT",7055,15,61
"Berlin Gorham","NH",142085,0,547
"Berlin Landfill Gas","WI","--",0,170
"Bernice Lake","AK",37844,0,89
"Berry Cogen","CA",201455,1,569
"Berry Cogen Tanne Hills 18","CA",90556,0,252
"Berry Placerita Cogen","CA",192121,1,546
"Bethany","MO",49,0,1
"Bethel","AK",31185,42,612
"Bethlehem Energy Center","NY",357925,1,811
"Bethlehem Energy Center","NY",14197,94,98
"Bethlehem Power Plant","PA",592506,29,122
"Bethpage Power Plant","NY",206692,3,71
"Big Bend","FL",8831372,10313,21641
"Big Brown","TX",8874738,82398,6354
"Big Cajun 1","LA",7054,0,5
"Big Cajun 1 Peakers","LA","--",0,18
"Big Cajun 2","LA",11986214,38400,12003
"Big Pine","FL",274,0,2
"Big Sandy","KY",6575083,45449,11332
"Big Sandy Peaker Plant","WV",75633,0,51
"Big Stone","SD",2933080,9655,12531
"Binghamton Cogen","NY",8317,"--","--"
"Biodyne Beecher","IL","--",0,6
"Biodyne Congress","IL","--",0,212
"Biodyne Lyons","IL","--",0,214
"Biodyne Peoria","IL","--",0,201
"Biodyne Springfield","IL","--",0,16
"Biola University Hybrid","CA",7372,0,159
"Biomass One LP","OR","--",25,140
"Birchwood Power","VA",1534370,449,673
"Bird City","KS",70,"--","--"
"Biron Mill","WI",413941,4663,809
"Black Dog","MN",1909740,3426,7019
"Black Hawk Station","TX",920002,5,326
"Black Hills Ontario Facility","CA",24514,0,62
"Blackburn Landfill Co-Generation","NC","--",0,261
"Blackhawk","WI",6715,0,17
"Blackjack Creek Treating","FL","--",0,5
"Blacksand Generating Facility","CA","--",0,124
"Blanco Compressor Station","NM",166936,1,390
"Blewett","NC",547,1,3
"Block Island","RI",9248,12,174
"Bloomfield","IA",79,0,2
"Blooming Prairie","MN",149,0,1
"Bloomington Power Plant","UT",164,0,4
"Blossburg","PA",3247,0,4
"Blount Street","WI",503867,5417,1137
"Blue Earth","MN",124,0,1
"Blue Lake","MN",90059,0,19
"Blue Spruce Energy Center","CO",142601,4,46
"Blue Valley","MO",423192,4825,297
"Blue Water Gas Plant","LA","--",0,2
