"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2002&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Mar 17 2020 23:20:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"BP Naperville Cogeneration Facility","IL",24599,0,68
"Baconton Power Plant","GA",63947,2,53
"Badger Creek Limited","CA",173735,1,485
"Bailly","IN",3018291,4733,14860
"Baldwin City Plant No 1","KS",130,0,3
"Baldwin Energy Complex","IL",12491789,23830,20298
"Balefill LFG Project","NJ","--",0,304
"Bancroft","IA",30,0,1
"Bank of America Plaza","GA",152,0,3
"Baptist Medical Center","FL",42440,0,113
"Bar Harbor","ME",337,1,7
"Barber Creek","WY",5048,0,16
"Barney M Davis","TX",866735,83,1273
"Barre","MA","--",0,68
"Barron","WI",134,0,3
"Barrow","AK",39168,0,110
"Barry","AL",12470699,54001,22136
"Bassett Medical Center","NY",109,0,2
"Bastrop Energy Center","TX",570128,3,337
"Batavia Power Plant","NY",24182,"--","--"
"Batesville Generation Facility","MS",520878,3,131
"Battle Mountain","NV",232,0,4
"Baxter Wilson","MS",1521983,8,5784
"Bay County Waste to Energy","FL",58307,159,417
"Bay Front","WI",262238,468,945
"Bayboro","FL",77026,118,422
"Baylor University Cogen","TX",22866,0,66
"Bayonne Plant Holding LLC","NJ",669724,3,151
"Bayou Cogen Plant","TX",1557737,4,2056
"Bayou Cove Peaking Power","LA",7522,0,1
"Bayside","MI",22863,132,56
"Bayswater Peaking Facility LLC","NY",2601,0,12
"Baytown Energy Center","TX",1513218,14,91
"Bayview","VA",5006,8,100
"Bayville Central Facility","NJ",100,0,55
"Beacon Heating","MI","--",1,423
"Bear Canyon Power Plant","CA",3974,"--","--"
"Bear Mountain Limited","CA",145684,1,401
"Beaver","OR",346181,3,950
"Beaver City","NE",33,0,1
"Beaver Creek Gas Plant","WY",26441,0,5
"Beaver Island","MI",62,0,1
"Belews Creek","NC",14236601,93518,40717
"Bell Meade","VA",256028,2,704
"Belle River","MI",7709921,22098,8921
"Belleville","KS",582,0,13
"Bellevue","IA",10,"--","--"
"Bellingham Cogeneration Facility","MA",1148607,6,858
"Beloit","KS",313,0,7
"Beluga","AK",1030813,5,2813
"Ben French","SD",224864,682,504
"Benedum Plant","TX",2725,0,65
"Benkelman","NE",18,"--","--"
"Benndale","MS",222,0,1
"Benning","DC",206929,986,372
"Benson City of","MN",75,0,2
"Beowawe Power","NV",2652,"--","--"
"Bergen Generating Station","NJ",1594576,8,278
"Bering Star","AK",2774,4,55
"Berkshire Power","MA",491317,3,44
"Berlin","MD",1894,3,38
"Berlin 5","VT",4667,7,26
"Berlin Gorham","NH",2330,12,4
"Berlin Gorham","NH","--",2,23
"Bernice Lake","AK",15087,0,39
"Berry Cogen","CA",204387,1,551
"Berry Cogen Tanne Hills 18","CA",91163,0,246
